ID	cpf	nome	sobrenome	idgenero	estado_civil	idade	uf	escolaridade	indcliente	MES	ANO
351	567.678.350-90	Matheus Gabriel	Peçanha	Masculino	1	55	BA	9		05	2024
352	678.789.351-01	Marlon	Pinheiro	Masculino	2	41	PE	7		05	2024
353	789.890.352-12	Maximo	Pires	Masculino	3	48	PI	7		05	2024
354	890.901.353-23	Maikel	Pereira	Masculino	4	37	PB	2		05	2024
355	901.012.354-34	Matias	Ramos	Masculino	5	56	AL	6		05	2024
356	012.123.355-45	Mário Sérgio	Rodrigues	Masculino	6	42	CE	11		05	2024
357	123.234.356-56	Murilho	Ribeiro	Masculino	1	33	SE	5		05	2024
358	234.345.357-67	Marcelino	Reis	Masculino	2	57	MA	6		05	2024
359	345.456.358-78	Marcos Paulo	Rocha	Masculino	3	45	RN	9		05	2024
360	456.567.359-89	Matheus Eduardo	Rosa	Masculino	4	51	PI	7		05	2024
361	567.678.360-90	Carlos	Rios	Masculino	2	76	PB	6		05	2024
362	678.789.361-01	César	Resende	Masculino	6	52	PE	11		05	2024
363	789.890.362-12	Cristiano	Ramos	Masculino	1	34	SE	5		05	2024
364	890.901.363-23	Caio	Rodrigues	Masculino	2	38	CE	6		05	2024
365	901.012.364-34	Clayton	Ribeiro	Masculino	2	76	PB	6		05	2024
366	012.123.365-45	Cláudio	Reis	Masculino	4	50	AL	6		05	2024
367	123.234.366-56	Cauã	Rocha	Masculino	2	76	PB	6		05	2024
368	234.345.367-67	Caleb	Rosa	Masculino	6	32	PE	11		05	2024
369	345.456.368-78	Cristiano	Rios	Masculino	1	49	PB	5		05	2024
370	456.567.369-89	Calebe	Resende	Masculino	2	35	PI	9		05	2024
371	567.678.370-90	Cristian	Ramos	Masculino	3	58	SE	7		05	2024
372	678.789.371-01	Cassiano	Rodrigues	Masculino	4	53	CE	7		05	2024
373	789.890.372-12	Cícero	Ribeiro	Masculino	5	47	BA	11		05	2024
374	890.901.373-23	Cristóvão	Reis	Masculino	6	37	RN	6		05	2024
375	932.487.374-76	Cícero	Rocha	Masculino	2	27	MA	6		05	2024
376	516.749.375-77	Celso	Rosa	Masculino	2	35	MA	6		05	2024
377	725.318.376-78	Ciro	Rios	Masculino	2	32	MA	6		05	2024
378	398.576.377-79	Conrad	Resende	Masculino	4	39	SE	7		05	2024
379	614.982.378-80	Cid	Ramos	Masculino	5	48	PE	11		05	2024
380	485.316.379-81	Cosme	Rodrigues	Masculino	6	46	CE	6	1	05	2024
381	739.621.380-82	Cândido	Ribeiro	Masculino	1	33	PI	2	1	05	2024
382	821.967.381-83	Constantino	Reis	Masculino	2	40	RN	6	1	05	2024
383	367.815.382-84	Clóvis	Rocha	Masculino	3	56	BA	7	1	05	2024
384	453.189.383-85	Corbiniano	Rosa	Masculino	4	51	AL	5	1	05	2024
385	985.327.384-86	Cristino	Rios	Masculino	5	35	PE	6	1	05	2024
386	724.651.385-87	Caique	Resende	Masculino	2	76	PB	6		05	2024
387	379.216.386-88	Cayo	Ramos	Masculino	2	76	PB	6		05	2024
388	642.915.387-89	Cláudio Henrique	Rodrigues	Masculino	2	34	PB	9		05	2024
389	257.349.388-90	Cristhian	Ribeiro	Masculino	3	37	CE	11		05	2024
390	918.472.389-91	Caíque	Reis	Masculino	2	76	PB	6		05	2024
391	436.289.390-92	Cleyton	Rocha	Masculino	2	76	PB	6		05	2024
392	792.538.391-93	Clodoaldo	Rosa	Masculino	6	56	RN	5	1	05	2024
393	561.984.392-94	Ciro	Rios	Masculino	1	48	SE	7	1	05	2024
394	689.723.393-95	Carlos Eduardo	Resende	Masculino	2	38	PE	6	1	05	2024
395	374.621.394-96	Charlles	Ramos	Masculino	3	33	CE	7	1	05	2024
396	527.186.395-97	Camilo	Rodrigues	Masculino	4	53	MA	6	1	05	2024
397	815.349.396-98	Cássio	Ribeiro	Masculino	5	50	PI	6	1	05	2024
398	692.784.397-99	Cláudio Roberto	Reis	Masculino	6	39	PB	11		05	2024
399	861.429.398-00	Cristovaldo	Rocha	Masculino	1	44	AL	7		05	2024
400	638.124.399-42	Cristiano Ronaldo	Rosa	Masculino	2	143	BA	5		05	2024
401	819.736.400-03	Claudiomiro	Rios	Masculino	3	57	CE	9		05	2024
402	246.935.401-64	Cícero Romão	Resende	Masculino	4	48	PE	7		05	2024
403	725.186.402-25	Cleyson	Ramos	Masculino	5	64	SE	7		05	2024
404	514.327.403-76	Clovis	Rodrigues	Masculino	6	55	MA	6		05	2024
405	962.843.404-07	Celso Luís	Martins	Masculino	1	59	RN	6		05	2024
406	307.695.405-48	Colton	Menezes	Masculino	2	70	PI	11		05	2024
407	184.752.406-09	Cristovam	Mendes	Masculino	3	49	PB	7		05	2024
408	856.392.407-10	Caetano	Monteiro	Masculino	4	65	BA	5		05	2024
409	973.528.408-21	Cosmo	Machado	Masculino	5	50	AL	9		05	2024
410	401.678.409-32	Cleverson	Miranda	Masculino	6	46	CE	6		05	2024
411	725.813.410-43	Carolina	Medeiros	Feminino	1	66	SE	6		05	2024
412	542.369.411-54	Camila	Marques	Feminino	2	58	PE	7		05	2024
413	639.187.412-65	Clara	Moreira	Feminino	3	45	MA	7		05	2024
414	214.768.413-76	Catarina	Melo	Feminino	4	68	PB	7		05	2024
415	965.327.414-87	Cecília	Magalhães	Feminino	5	75	PI	11		05	2024
416	872.546.415-98	Cristiane	Matos	Feminino	6	47	CE	6		05	2024
417	531.694.416-09	Carmem	Moraes	Feminino	1	53	RN	5		05	2024
418	618.943.417-10	Camila	Maciel	Feminino	2	71	BA	6		05	2024
419	359.871.418-21	Cíntia	Mesquita	Feminino	3	61	SE	6		05	2024
420	247.816.419-32	Cristina	Marinho	Feminino	4	52	AL	7		05	2024
421	846.935.420-43	Carla	Mota	Feminino	5	67	PE	7		05	2024
422	682.719.421-54	Clarissa	Marinho	Feminino	6	76	CE	7		05	2024
423	173.964.422-65	Caroline	Moraes	Feminino	1	69	PI	9		05	2024
424	392.657.423-76	Cláudia	Magalhães	Feminino	2	56	RN	11		05	2024
425	748.512.424-87	Camille	Matias	Feminino	3	73	SE	5		05	2024
426	465.273.425-98	Celeste	Melo	Feminino	4	62	MA	6		05	2024
427	937.821.426-01	Cassiana	Medeiros	Feminino	5	51	BA	6		05	2024
428	826.549.427-02	Constança	Monteiro	Feminino	6	74	PB	7		05	2024
429	159.473.428-03	Cleusa	Menezes	Feminino	1	63	PE	7		05	2024
430	784.216.429-04	Camila	Martins	Feminino	2	78	CE	7		05	2024
431	625.397.430-05	Celine	Mendonça	Feminino	3	79	AL	6		05	2024
432	413.768.431-06	Cecília	Maia	Feminino	4	72	PI	11		05	2024
433	389.275.432-07	Cristal	Meireles	Feminino	5	77	PE	9		05	2024
434	214.637.433-08	Charlote	Moura	Feminino	4	38	PB	6		05	2024
435	718.924.434-09	Catalina	Madeira	Feminino	1	45	BA	6		05	2024
436	547.318.435-10	Claudete	Marinho	Feminino	2	76	PB	6		05	2024
437	362.795.436-11	Cidália	Mota	Feminino	2	76	PB	6		05	2024
438	951.846.437-12	Cinthia	Marques	Feminino	4	69	MA	7		05	2024
439	638.274.438-13	Crisley	Miranda	Feminino	5	70	RN	7		05	2024
440	295.713.439-14	Clélia	Monteiro	Feminino	6	74	PI	11		05	2024
441	731.856.440-15	Claudiana	Mesquita	Feminino	1	50	AL	9		05	2024
442	489.372.441-16	Célia	Mendes	Feminino	2	52	SE	5		05	2024
443	574.298.442-17	Cristiana	Moraes	Feminino	3	73	CE	6		05	2024
444	817.436.443-18	Cora	Maciel	Feminino	4	61	PB	6		05	2024
445	326.951.444-19	Clotilde	Martins	Feminino	5	58	PE	7		05	2024
446	946.738.445-20	Candida	Matos	Feminino	6	45	MA	7		05	2024
447	613.974.446-21	Clarice	Menezes	Feminino	1	64	RN	6		05	2024
448	854.126.447-22	Chantal	Medeiros	Feminino	2	66	BA	7		05	2024
449	372.918.448-23	Carlota	Melo	Feminino	3	55	PI	11		05	2024
450	916.347.449-24	Charlene	Magalhães	Feminino	4	59	CE	5		05	2024
451	285.739.450-25	Clevane	Miranda	Feminino	5	57	AL	6		05	2024
452	642.157.451-26	Cristalina	Marinho	Feminino	6	68	SE	6		05	2024
453	528.314.452-27	Charmaine	Monteiro	Feminino	1	49	PB	9		05	2024
454	754.926.453-28	Chloé	Mota	Feminino	2	80	PE	7		05	2024
455	481.562.454-29	Constanza	Barbosa	Feminino	3	71	BA	7		05	2024
456	697.384.455-30	Cristal	Batista	Feminino	4	47	MA	7		05	2024
457	739.126.456-31	Ceci	Bernardes	Feminino	5	63	RN	6		05	2024
458	852.467.457-32	Clariana	Borges	Feminino	6	78	PI	11		05	2024
459	146.938.458-33	Chantal	Brito	Feminino	1	56	CE	5		05	2024
460	634.271.459-34	Celestina	Barreto	Feminino	2	65	SE	6		05	2024
461	972.346.460-35	Sofia	Bessa	Feminino	3	67	AL	9		05	2024
462	863.215.461-36	Sara	Braga	Feminino	4	75	PE	7		05	2024
463	215.748.462-37	Solange	Bezerra	Feminino	5	52	PB	7		05	2024
464	739.451.463-38	Samara	Bittencourt	Feminino	6	46	CE	11		05	2024
465	481.692.464-39	Simone	Bastos	Feminino	1	120	MA	5		05	2024
466	547.238.465-40	Sheila	Brasil	Feminino	2	74	BA	6		05	2024
467	198.367.466-41	Silvia	Beltrão	Feminino	3	48	PI	6		05	2024
468	725.469.467-42	Sabrina	Bandeira	Feminino	4	60	SE	6		05	2024
469	986.123.468-43	Sônia	Bueno	Feminino	5	53	RN	7		05	2024
470	372.584.469-44	Sandra	Barros	Feminino	6	69	RN	11		05	2024
472	          413.796.549-46	Sueli	Barcelos	Feminino	2	70	PI	9		05	2024
473	836.271.550-47	Selma	Baptista	Feminino	3	47	CE	7		05	2024
474	254.718.551-48	Sol	Branco	Feminino	4	77	AL	7		05	2024
475	692.453.552-49	Stella	Barreiros	Feminino	5	51	SE	11		05	2024
476	547.916.553-50	Susana	Brandão	Feminino	6	66	PB	6		05	2024
477	814.692.554-51	Sílvia	Bahia	Feminino	1	64	PE	7		05	2024
478	372.549.555-52	Sâmara	Barbalho	Feminino	2	62	BA	6		05	2024
479	931.768.556-53	Seraphina	Bezerril	Feminino	3	76	MA	5		05	2024
480	785.614.557-54	Samantha	Brás	Feminino	4	49	RN	7		05	2024
481	639.124.558-55	Sílvia	Batalha	Feminino	5	57	PI	11		05	2024
482	562.397.559-56	Soraia	Belém	Feminino	6	59	CE	6		05	2024
483	715.286.560-57	Suelen	Bolívar	Feminino	1	45	SE	7		05	2024
484	486.975.561-58	Solene	Bittar	Feminino	2	70	AL	6		05	2024
485	327.915.562-59	Serenella	Bonfim	Feminino	3	55	PE	7		05	2024
486	914.263.563-60	Soraya	Bandeira	Feminino	4	67	PB	5		05	2024
487	549.731.564-61	Sancha	Boaventura	Feminino	5	61	CE	6		05	2024
488	682.375.565-62	Suzane	Beira	Feminino	6	71	MA	7		05	2024
489	437.198.566-63	Salomé	Bejarano	Feminino	1	73	BA	6		05	2024
490	985.347.567-64	Samuel	Barros	Masculino	2	68	PI	9		05	2024
491	754.126.568-65	Santiago	Branco	             Masculino	3	50	SE	11		05	2024
492	249.681.569-66	                  Sebastião	Batista	Masculino	4	52	RN	7		05	2024
493	683.547.570-67	Saul	Barbosa	Masculino	5	66	SE	6		05	2024
494	826.319.571-68	Sandro	Barreto	Masculino	6	74	AL	5		05	2024
495	149.726.572-69	Sílvio	Bezerra	             Masculino	1	63	PE	7		05	2024
496	572.934.573-70	Simão	Bernardes	Masculino	2	46	PB	6		05	2024
497	954.178.574-71	Sérgio	Borges	Masculino	3	56	CE	7		05	2024
498	819.426.575-72	Salomão	Bittencourt	Masculino	4	75	MA	6		05	2024
499	287.365.576-73	Sidney	Brito	Masculino	6	59	BA	6		05	2024
500	461.782.577-74	Solano	Bastos	Masculino	1	68	PI	11		05	2024
501	456.567.099-89	Bárbara	Taborda	Feminino	3	48	BA	6	0	05	2024
502	345.678.002-23	           Aline	Abreu	Feminino	1	38	PE	3	1	05	2024
503	456.567.199-89	Ágata	Haugen	Masculino	3	34	MA	6	1	05	2024
504	461.782.577-74	Solano	Bastos	       Masculino	1	68	PI	11		05	2024
506	123.456.789-01	     Alice	Alves	Feminino	3	25	SE	11	0	05	2024
507	456.567.299-89	Márcia	Tavares	Feminino	5	52	PE	7	1	05	2024
